Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 751.467834, -0.006178, 116.957306, -2.594441, -0.010443, 0.000921, 11.580000, 0, 11.580000, 0, 0, 0
2, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.762207, 0.043672, 113.091331, -0.081990, -0.005609, -0.003922, 19.700001, 0, 19.700001, 0, 0, 0
3, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 762.626404, 0.028415, 342.963257, -3.052126, -0.053728, -0.021160, 12.960000, 0, 12.960000, 0, 0, 0
4, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.995239, -0.001680, 113.182068, 0.005628, 0.000006, -0.001016, 20.620001, 0, 20.620001, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 512.745117, -0.074946, 119.392281, -3.551736, -0.033890, -0.061248, 8.450000, 0, 8.450000, 0, 0, 0
6, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 775.433350, -0.275297, 568.598816, -3.240912, 0.008491, -0.058462, 14.480000, 0, 14.480000, 0, 0, 0
7, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 528.288391, -0.058360, 344.894806, -3.640858, -0.010424, 0.021846, 8.590000, 0, 8.590000, 0, 0, 0
8, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 788.305481, -0.513857, 794.195557, -3.168691, 0.006631, -0.077707, 15.290000, 0, 15.290000, 0, 0, 0
9, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 800.780701, -0.800606, 1020.048157, -3.178193, 0.015527, -0.094957, 17.900000, 0, 17.900000, 0, 0, 0
10, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 542.991638, -0.099368, 570.463135, -3.538302, -0.006153, -0.001598, 12.300000, 0, 12.300000, 0, 0, 0
11, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 998.526917, -0.104021, 114.960472, -1.687312, 0.024374, 0.003152, 8.550000, 0, 8.550000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1005.114990, -0.118389, 340.613953, -1.725020, 0.007733, -0.013910, 15.320000, 0, 15.320000, 0, 0, 0
13, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.865601, -0.035042, 339.158997, -0.052552, 0.024488, -0.009893, 19.969999, 0, 19.969999, 0, 0, 0
14, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 283.326263, -0.093471, 119.432846, -3.411866, -0.015259, 0.026538, 5.070000, 0, 5.070000, 0, 0, 0
15, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 298.363098, 0.001134, 345.602478, -3.897954, -0.007898, 0.116887, 5.760000, 0, 5.760000, 0, 0, 0
16, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1012.036804, -0.189026, 566.492310, -1.791457, -0.003884, -0.017292, 17.309999, 0, 17.309999, 0, 0, 0
17, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 313.245819, 0.620905, 571.238037, -3.718636, -0.006755, 0.097401, 14.200000, 0, 14.200000, 0, 0, 0
18, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1245.068848, -0.064209, 565.332886, -0.023899, 0.015932, -0.015038, 20.320000, 0, 20.320000, 0, 0, 0
19, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 559.007324, -0.527752, 796.735229, -3.205376, 0.003928, -0.001823, 12.720000, 0, 12.720000, 0, 0, 0
20, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1019.911072, -0.391588, 792.818604, -1.925229, 0.015888, -0.009132, 18.430000, 0, 18.430000, 0, 0, 0
