Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1000.208130, -0.024316, 116.868103, -2.304570, 0.013327, -0.004571, 11.580000, 0, 11.580000, 0, 0, 0
2, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1245.007690, -0.000365, 113.177101, 0.011818, 0.000899, -0.001556, 19.700001, 0, 19.700001, 0, 0, 0
3, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 266.524902, -0.012776, 127.384254, -7.887398, -0.010235, 0.001574, 12.960000, 0, 12.960000, 0, 0, 0
4, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.945923, -0.008349, 339.378418, 0.012178, -0.000144, -0.002041, 20.620001, 0, 20.620001, 0, 0, 0
5, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 753.572083, -0.033984, 118.858650, -3.630514, -0.012562, -0.020679, 8.450000, 0, 8.450000, 0, 0, 0
6, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1009.455505, -0.028158, 342.585693, -2.294101, -0.006515, -0.021280, 14.480000, 0, 14.480000, 0, 0, 0
7, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.943359, -0.011056, 112.841125, 0.051522, -0.000008, -0.010419, 8.590000, 0, 8.590000, 0, 0, 0
8, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 297.694977, 0.007225, 351.179504, -7.857124, -0.025114, 0.015797, 15.290000, 0, 15.290000, 0, 0, 0
9, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1018.800049, -0.078664, 568.456909, -2.188054, -0.035643, -0.034779, 17.900000, 0, 17.900000, 0, 0, 0
10, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.548218, -0.093992, 338.727722, 0.172923, -0.000044, -0.034226, 12.300000, 0, 12.300000, 0, 0, 0
11, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 769.021973, -0.213342, 344.425323, -4.063864, 0.025467, -0.034078, 8.550000, 0, 8.550000, 0, 0, 0
12, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 785.692017, -0.225307, 569.760254, -4.067427, -0.031119, -0.001588, 15.320000, 0, 15.320000, 0, 0, 0
13, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 324.503967, 0.084774, 580.481384, -5.479784, -0.030133, 0.025891, 19.969999, 0, 19.969999, 0, 0, 0
14, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 508.756287, -0.181554, 121.885651, -5.455891, 0.041587, 0.000511, 5.070000, 0, 5.070000, 0, 0, 0
15, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 531.750366, -0.001314, 346.016571, -5.544030, -0.025482, 0.066337, 5.760000, 0, 5.760000, 0, 0, 0
16, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 801.969666, -0.307562, 795.411804, -4.057348, -0.031261, 0.003929, 17.309999, 0, 17.309999, 0, 0, 0
17, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 553.710815, 0.128770, 570.886719, -5.334312, -0.031671, 0.026091, 14.200000, 0, 14.200000, 0, 0, 0
18, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 572.653381, 0.147962, 799.070129, -4.058909, -0.034185, 0.025481, 20.320000, 0, 20.320000, 0, 0, 0
19, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1492.712402, -0.263435, 564.710876, 0.263476, -0.000109, -0.052229, 12.720000, 0, 12.720000, 0, 0, 0
20, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1491.585571, -0.487235, 790.868286, 0.301060, -0.000141, -0.060396, 18.430000, 0, 18.430000, 0, 0, 0
