Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 753.530029, -0.037919, 118.928337, -3.147830, -0.010214, -0.003376, 11.580000, 0, 11.580000, 0, 0, 0
2, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.887451, -0.000815, 113.074501, -0.214477, 0.017879, -0.004779, 19.700001, 0, 19.700001, 0, 0, 0
3, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 765.801331, -0.023807, 344.555267, -3.323051, 0.013632, 0.017313, 12.960000, 0, 12.960000, 0, 0, 0
4, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.836548, -0.075845, 113.193802, 0.005663, 0.007414, -0.006350, 20.620001, 0, 20.620001, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 524.024292, -0.260096, 118.772331, -3.126066, 0.008511, -0.001797, 8.450000, 0, 8.450000, 0, 0, 0
6, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 888.542419, 0.125897, 611.787170, -47.416664, 0.027381, 0.041355, 14.480000, 0, 14.480000, 0, 0, 0
7, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 536.063538, -0.190800, 344.439056, -3.115567, 0.020697, 0.024276, 8.590000, 0, 8.590000, 0, 0, 0
8, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1056.053345, 0.890137, 763.764221, -47.450462, -0.007633, 0.078045, 15.290000, 0, 15.290000, 0, 0, 0
9, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1613.889648, 3.660207, 340.722900, -0.651654, -179.157242, -179.997406, 17.900000, 0, 17.900000, 0, 0, 0
10, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 2074.965820, 3.486380, 114.611298, -90.000000, -179.850800, -179.281769, 12.300000, 0, 12.300000, 0, 0, 0
11, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 997.267761, -0.056986, 113.962967, -0.642339, 0.016641, -0.003798, 8.550000, 0, 8.550000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 999.846558, -0.063073, 340.010223, -0.560683, 0.013132, -0.011552, 15.320000, 0, 15.320000, 0, 0, 0
13, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1245.836914, -0.009934, 339.037720, -0.235253, 0.002886, -0.011206, 19.969999, 0, 19.969999, 0, 0, 0
14, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 294.709900, -0.110161, 118.096802, -2.878424, 0.000523, -0.014349, 5.070000, 0, 5.070000, 0, 0, 0
15, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 306.749298, -0.666268, 344.757507, -3.128768, 0.010525, -0.019420, 5.760000, 0, 5.760000, 0, 0, 0
16, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 2784.824463, -18.960579, 203.214188, -70.492462, 42.559746, -51.925114, 17.309999, 0, 17.309999, 0, 0, 0
17, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 595.820374, -0.403971, 602.030212, -65.872719, -179.934906, 179.945587, 14.200000, 0, 14.200000, 0, 0, 0
18, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1246.704590, -0.007740, 565.140198, -0.209509, -0.016541, -0.015790, 20.320000, 0, 20.320000, 0, 0, 0
19, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1842.399780, -2.211134, 114.598961, -90.000000, -174.921631, 175.456573, 12.720000, 0, 12.720000, 0, 0, 0
20, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 2328.026123, 5.190591, 137.280884, -85.296028, 50.474930, -50.013885, 18.430000, 0, 18.430000, 0, 0, 0
