idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,5,0,0,7.12,0,7.12,0,1.0,20
2,6,0,0,23.18,0,23.18,0,0,20
3,5,0,1,6.33,0,6.33,0,1.0,20
4,1,0,0,22.46,0,22.46,1,0,20
5,2,0,0,7.55,0,7.55,2,0,20
6,3,0,0,7.63,0,7.63,3,0,20
7,6,0,1,23.21,0,23.21,4,0,20
8,4,0,0,5.83,0,5.83,5,0,20
9,2,0,1,12.48,0,12.48,6,0,20
10,3,0,1,15.46,0,15.46,7,0,20
11,5,0,2,6.31,0,6.31,8,1.0,20
12,2,0,2,21.32,0,21.32,9,0,20
13,3,0,2,15.76,0,15.76,10,0,20
14,4,0,1,5.88,0,5.88,11,0,20
15,1,0,1,23.42,0,23.42,12,0,20
16,2,0,3,22.42,0,22.42,13,0,20
17,3,0,3,16.43,0,16.43,14,0,20
18,4,0,2,10.91,0,10.91,15,0,20
19,3,0,4,18.5,0,18.5,16,0,20
20,5,0,3,5.46,0,5.46,17,1.0,20
