idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,16.87,0,16.87,1,0,20
2,2,0,0,13.29,0,13.29,2,0,20
3,3,0,0,6.28,0,6.28,3,0,20
4,6,0,0,22.24,0,22.24,4,0,20
5,6,0,1,23.5,0,23.5,5,0,20
6,4,0,0,5.03,0,5.03,6,0,20
7,5,0,0,15.05,0,15.05,7,0,20
8,3,0,1,10.17,0,10.17,8,0,20
9,6,0,2,23.83,0,23.83,9,0,20
10,3,0,2,9.85,0,9.85,10,0,20
11,5,0,1,19.73,0,19.73,11,0,20
12,5,0,2,19.98,0,19.98,12,0,20
13,1,0,1,11.24,0,11.24,13,0,20
14,1,0,2,16.1,0,16.1,14,0,20
15,2,0,1,9.65,0,9.65,15,0,20
16,1,0,3,23.67,0,23.67,16,0,20
17,4,0,1,12.3,0,12.3,17,0,20
18,5,0,3,22.69,0,22.69,18,0,20
19,2,0,2,5.19,0,5.19,19,0,20
20,2,0,3,5.5,0,5.5,20,0,20
21,2,0,4,6.79,0,6.79,21,0,20
22,4,0,2,12.25,0,12.25,22,0,20
23,3,0,3,5.42,0,5.42,23,0,20
24,1,0,4,21.93,0,21.93,24,0,20
25,4,0,3,6.81,0,6.81,25,0,20
