Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.795898, -0.013147, 112.330040, 0.084799, -0.010659, -0.015342, 5.520000, 0, 5.520000, 0, 0, 0
2, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 523.949951, -0.064804, 344.390717, -3.535718, -0.014962, -0.011115, 7.490000, 0, 7.490000, 0, 0, 0
3, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 547.378357, -0.297231, 798.612732, -1.889174, -0.012401, -0.016680, 16.219999, 0, 16.219999, 0, 0, 0
4, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1002.151733, -0.083788, 565.115112, -1.095670, -0.000860, -0.009778, 18.740000, 0, 18.740000, 0, 0, 0
5, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1009.621216, -0.209107, 1017.182068, -0.755932, -0.011657, -0.010790, 21.469999, 0, 21.469999, 0, 0, 0
6, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 996.202148, 0.013050, 112.871300, -0.454187, -0.007424, 0.004751, 16.010000, 0, 16.010000, 0, 0, 0
7, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1006.636902, -0.126906, 791.052612, -0.979997, -0.006888, -0.023032, 20.510000, 0, 20.510000, 0, 0, 0
8, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 998.258057, 0.016851, 338.751617, -0.793598, -0.035473, -0.028835, 15.440000, 0, 15.440000, 0, 0, 0
9, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 506.732086, 0.009503, 119.783676, -4.224527, -0.019155, 0.029867, 7.010000, 0, 7.010000, 0, 0, 0
10, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 537.941101, -0.186544, 570.030151, -3.120549, -0.009741, -0.027775, 9.730000, 0, 9.730000, 0, 0, 0
11, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.027466, -0.142854, 337.985321, 0.240240, -0.016380, -0.055600, 14.250000, 0, 14.250000, 0, 0, 0
12, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 265.911591, 0.028402, 124.877983, -6.289200, -0.079056, -0.007929, 10.310000, 0, 10.310000, 0, 0, 0
13, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 751.211792, -0.138063, 116.446419, -2.320483, 0.043937, -0.023849, 7.960000, 0, 7.960000, 0, 0, 0
14, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 290.158844, -0.003322, 350.073364, -6.014907, -0.016055, -0.008283, 20.309999, 0, 20.309999, 0, 0, 0
15, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.884155, -0.007685, 112.785004, 0.189160, -0.000087, -0.005325, 5.320000, 0, 5.320000, 0, 0, 0
16, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 760.620361, -0.249973, 341.763702, -2.173391, 0.018401, -0.050775, 9.240000, 0, 9.240000, 0, 0, 0
17, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1242.811890, -0.393222, 563.806702, 0.267384, -0.021084, -0.072875, 15.710000, 0, 15.710000, 0, 0, 0
18, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 769.274963, -0.457733, 567.578613, -1.923985, -0.007173, -0.072864, 15.760000, 0, 15.760000, 0, 0, 0
19, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1492.973633, -0.075123, 338.840057, 0.292330, -0.000064, -0.029992, 13.660000, 0, 13.660000, 0, 0, 0
20, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1491.580322, -0.229544, 564.753357, 0.457264, -0.000125, -0.049033, 5.190000, 0, 5.190000, 0, 0, 0
21, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 776.194580, -0.866282, 793.654358, -1.708509, 0.002917, -0.068924, 16.920000, 0, 16.920000, 0, 0, 0
22, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1489.548706, -0.461677, 790.713989, 0.567904, -0.000140, -0.069877, 5.450000, 0, 5.450000, 0, 0, 0
23, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1487.194580, -0.757763, 1016.856506, 0.609922, -0.000138, -0.080614, 8.060000, 0, 8.060000, 0, 0, 0
24, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1241.588379, -0.701185, 789.687683, 0.244089, -0.027342, -0.080985, 15.000000, 0, 15.000000, 0, 0, 0
25, 1245.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1240.568726, -1.046655, 1015.800049, 0.232702, -0.016523, -0.085123, 16.100000, 0, 16.100000, 0, 0, 0
