Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.965332, -0.010032, 112.956207, 0.028641, -0.000011, -0.009700, 15.370000, 0, 15.370000, 0, 0, 0
2, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 995.984802, -0.004002, 113.177200, 0.019388, 0.000007, -0.002561, 14.650000, 0, 14.650000, 0, 0, 0
3, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 747.403992, -0.033889, 112.993721, -0.447206, -0.003915, -0.016165, 15.700000, 0, 15.700000, 0, 0, 0
4, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 749.292297, -0.159708, 338.893982, -0.456997, -0.004299, -0.039351, 19.450001, 0, 19.450001, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 500.811432, -0.128892, 115.053986, -1.385781, 0.056912, 0.001115, 20.299999, 0, 20.299999, 0, 0, 0
6, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.732666, -0.075627, 338.979858, 0.105410, -0.000052, -0.024894, 23.610001, 0, 23.610001, 0, 0, 0
7, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 995.897461, -0.016060, 339.380310, 0.019316, 0.000018, -0.003202, 14.790000, 0, 14.790000, 0, 0, 0
8, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 257.641724, -0.138066, 120.201965, -3.733759, 0.071741, -0.013027, 10.860000, 0, 10.860000, 0, 0, 0
9, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 751.687317, -0.438549, 564.372620, -0.253010, 0.001591, -0.071388, 7.980000, 0, 7.980000, 0, 0, 0
10, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 272.538940, -0.067644, 345.847107, -3.694415, 0.069771, -0.047680, 12.470000, 0, 12.470000, 0, 0, 0
11, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 287.213776, -0.166943, 571.514709, -3.742344, 0.073095, -0.049642, 23.889999, 0, 23.889999, 0, 0, 0
12, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 506.508240, -0.181284, 340.789734, -1.135351, 0.067382, -0.000116, 23.959999, 0, 23.959999, 0, 0, 0
13, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 748.287476, -0.543313, 1017.799805, 0.566068, 0.015823, -0.031198, 17.030001, 0, 17.030001, 0, 0, 0
14, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 751.025146, -0.444444, 791.766541, 0.735912, 0.014645, -0.020466, 6.830000, 0, 6.830000, 0, 0, 0
15, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.824097, -0.003845, 112.593948, 0.252353, -0.000071, -0.003438, 7.070000, 0, 7.070000, 0, 0, 0
16, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1492.537720, -0.085761, 338.458466, 0.419759, -0.000015, -0.042296, 14.960000, 0, 14.960000, 0, 0, 0
17, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 308.513733, 0.721214, 803.709167, -5.466690, -0.361928, -0.034362, 22.299999, 0, 22.299999, 0, 0, 0
18, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 521.288940, -0.446478, 566.249084, -0.866357, 0.013503, -0.031075, 8.620000, 0, 8.620000, 0, 0, 0
19, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1490.699585, -0.286372, 564.476257, 0.508354, -0.000009, -0.061023, 19.850000, 0, 19.850000, 0, 0, 0
20, 249.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 330.158936, 0.401694, 1028.804077, -5.485767, -0.362713, -0.056971, 22.980000, 0, 22.980000, 0, 0, 0
21, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1488.597778, -0.543502, 790.631104, 0.545336, -0.000022, -0.069512, 21.430000, 0, 21.430000, 0, 0, 0
22, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1244.213867, -0.199806, 565.035339, 0.168302, -0.000108, -0.038031, 16.299999, 0, 16.299999, 0, 0, 0
23, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1243.479614, -0.364541, 791.204407, 0.197793, -0.000135, -0.044337, 18.230000, 0, 18.230000, 0, 0, 0
