Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 749.534485, -0.043872, 114.958267, -1.613384, 0.010207, 0.004110, 10.690000, 0, 10.690000, 0, 0, 0
2, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 756.169739, -0.023778, 340.095490, -1.763952, -0.029438, -0.014372, 8.760000, 0, 8.760000, 0, 0, 0
3, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.905029, -0.005256, 112.886162, 0.168572, -0.000075, -0.002592, 17.549999, 0, 17.549999, 0, 0, 0
4, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 763.256409, -0.088268, 565.503052, -1.504441, -0.083566, -0.035293, 14.020000, 0, 14.020000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 504.578583, -0.010905, 117.513947, -2.790399, -0.028355, -0.021462, 9.420000, 0, 9.420000, 0, 0, 0
6, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 996.169373, -0.007918, 112.733696, -0.435628, 0.001766, -0.002683, 12.290000, 0, 12.290000, 0, 0, 0
7, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 769.298706, -0.244707, 791.418396, -1.289768, -0.116697, -0.052421, 21.139999, 0, 21.139999, 0, 0, 0
8, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 275.395294, 0.283806, 118.633095, -2.719763, -0.051409, 0.021573, 6.320000, 0, 6.320000, 0, 0, 0
9, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 775.222046, -0.396725, 1017.772522, -1.123529, -0.068655, -0.023244, 19.790001, 0, 19.790001, 0, 0, 0
10, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 517.929993, 0.182492, 342.352203, -3.033415, -0.064423, 0.013681, 5.950000, 0, 5.950000, 0, 0, 0
11, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 529.697876, 0.194506, 568.055908, -2.852462, -0.080443, -0.029078, 14.110000, 0, 14.110000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 997.925598, -0.053284, 338.470184, -0.569804, -0.015152, -0.026862, 15.840000, 0, 15.840000, 0, 0, 0
13, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1000.099548, -0.195000, 564.230652, -0.643847, -0.012289, -0.041207, 16.709999, 0, 16.709999, 0, 0, 0
14, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.042480, -0.062514, 338.852112, 0.322330, -0.000082, -0.028207, 22.820000, 0, 22.820000, 0, 0, 0
