Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.990356, -0.003867, 113.153412, 0.016087, -0.000234, -0.002472, 17.629999, 0, 17.629999, 0, 0, 0
2, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.955322, -0.008690, 112.942558, 0.045489, 0.000009, -0.007853, 12.280000, 0, 12.280000, 0, 0, 0
3, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 997.869690, -0.078823, 114.209595, -1.373585, 0.006900, -0.005280, 9.260000, 0, 9.260000, 0, 0, 0
4, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1003.841064, -0.076244, 340.496460, -1.667796, -0.023099, -0.011739, 22.059999, 0, 22.059999, 0, 0, 0
5, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.983643, 0.006348, 339.281067, 0.075748, -0.013282, -0.010098, 5.620000, 0, 5.620000, 0, 0, 0
6, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 751.244507, -0.044912, 116.755119, -2.559055, -0.005651, -0.014212, 8.010000, 0, 8.010000, 0, 0, 0
7, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 762.141846, -0.055647, 342.851349, -3.090356, 0.017645, 0.010355, 9.530000, 0, 9.530000, 0, 0, 0
8, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1010.903320, -0.127156, 566.720093, -1.918886, -0.043808, -0.028565, 19.700001, 0, 19.700001, 0, 0, 0
9, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 775.095398, 0.026570, 568.669739, -3.443748, 0.037636, 0.016276, 9.850000, 0, 9.850000, 0, 0, 0
10, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 789.594849, 0.129636, 794.235046, -3.603174, -0.042777, 0.047950, 10.740000, 0, 10.740000, 0, 0, 0
11, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1244.956909, 0.014343, 565.485962, 0.106684, -0.045385, -0.021467, 8.340000, 0, 8.340000, 0, 0, 0
12, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.619995, -0.074669, 338.869415, 0.150081, -0.000015, -0.028087, 13.520000, 0, 13.520000, 0, 0, 0
13, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 509.655762, -0.049316, 118.778893, -3.710346, -0.058341, -0.009992, 5.700000, 0, 5.700000, 0, 0, 0
14, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1020.764282, -0.233965, 794.243103, -2.684101, -0.095191, -0.034988, 20.750000, 0, 20.750000, 0, 0, 0
15, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 281.037537, 0.104297, 128.772598, -3.789627, -0.051181, 0.068252, 5.030000, 0, 5.030000, 0, 0, 0
16, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 526.447083, -0.032048, 344.057587, -4.230674, -0.031994, 0.048453, 5.730000, 0, 5.730000, 0, 0, 0
17, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 803.676453, 0.281423, 1019.963257, -3.629069, -0.092573, 0.034047, 14.980000, 0, 14.980000, 0, 0, 0
18, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1492.881592, -0.218644, 564.867065, 0.238667, -0.000080, -0.045557, 13.540000, 0, 13.540000, 0, 0, 0
19, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 543.414734, 0.140345, 569.578369, -3.932966, 0.029741, 0.011903, 6.440000, 0, 6.440000, 0, 0, 0
20, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 297.689606, 0.373914, 356.683777, -4.262285, -0.031322, 0.105901, 5.130000, 0, 5.130000, 0, 0, 0
21, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 559.711060, 0.083965, 795.182129, -3.858572, -0.046786, -0.005797, 19.709999, 0, 19.709999, 0, 0, 0
22, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1491.855835, -0.415586, 791.028564, 0.273504, -0.000100, -0.053490, 19.629999, 0, 19.629999, 0, 0, 0
23, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 314.889801, 0.349830, 585.289185, -3.924497, 0.012287, 0.050247, 6.300000, 0, 6.300000, 0, 0, 0
