Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.936279, -0.009516, 112.999954, 0.037140, 0.001406, -0.006079, 17.629999, 0, 17.629999, 0, 0, 0
2, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.969604, -0.006748, 113.156914, 0.039798, -0.000002, -0.004917, 12.280000, 0, 12.280000, 0, 0, 0
3, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 996.419739, -0.064387, 112.905190, -0.841586, 0.005818, -0.015790, 9.260000, 0, 9.260000, 0, 0, 0
4, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 999.636841, -0.144146, 338.668610, -0.827106, -0.004499, -0.037553, 22.059999, 0, 22.059999, 0, 0, 0
5, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.417358, -0.089094, 338.426453, 0.221571, 0.015730, -0.042682, 5.620000, 0, 5.620000, 0, 0, 0
6, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 508.150391, -0.009554, 117.384232, -2.646407, -0.110846, -0.010207, 8.010000, 0, 8.010000, 0, 0, 0
7, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 520.979553, -0.307998, 342.744080, -2.989569, -0.081330, -0.061785, 9.530000, 0, 9.530000, 0, 0, 0
8, 1245.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1243.289307, -0.311790, 564.391846, 0.363314, 0.015591, -0.070340, 19.700001, 0, 19.700001, 0, 0, 0
9, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 535.272034, -0.535091, 568.505371, -2.837175, 0.085427, -0.088762, 9.850000, 0, 9.850000, 0, 0, 0
10, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 546.373352, -0.917300, 794.512634, -2.832969, -0.005196, -0.091913, 10.740000, 0, 10.740000, 0, 0, 0
11, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 747.831726, -0.090347, 113.695076, -0.627490, 0.001122, -0.019644, 8.340000, 0, 8.340000, 0, 0, 0
12, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1003.293396, -0.312136, 564.636353, -1.115339, -0.007302, -0.051858, 13.520000, 0, 13.520000, 0, 0, 0
13, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 278.632294, 0.262115, 118.061577, -2.499397, -0.117679, 0.005241, 5.700000, 0, 5.700000, 0, 0, 0
14, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1007.761841, -0.496540, 790.532715, -1.040602, -0.023239, -0.061986, 20.750000, 0, 20.750000, 0, 0, 0
15, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 754.238647, -0.142614, 342.491272, -2.431618, -0.015112, -0.026801, 5.030000, 0, 5.030000, 0, 0, 0
16, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 765.065430, -0.521961, 568.100891, -2.566956, 0.085301, -0.089592, 5.730000, 0, 5.730000, 0, 0, 0
17, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 775.827759, -0.792212, 793.960571, -2.549862, -0.019666, -0.055374, 14.980000, 0, 14.980000, 0, 0, 0
18, 996.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1012.160278, -0.772609, 1016.630798, -0.999058, -0.002222, -0.066416, 13.540000, 0, 13.540000, 0, 0, 0
19, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 291.213623, 0.372468, 346.026245, -3.311357, -0.084014, 0.080303, 6.440000, 0, 6.440000, 0, 0, 0
20, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 306.250122, -0.592298, 579.417053, -2.818038, 0.118626, -0.040082, 5.130000, 0, 5.130000, 0, 0, 0
21, 1245.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1241.776001, -0.605299, 790.552673, 0.397714, 0.015553, -0.077660, 19.709999, 0, 19.709999, 0, 0, 0
22, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.795044, -0.030628, 339.359436, 0.038340, 0.000022, -0.006564, 19.629999, 0, 19.629999, 0, 0, 0
23, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 317.366608, -0.585088, 805.447083, -2.807278, 0.043274, -0.073135, 6.300000, 0, 6.300000, 0, 0, 0
