Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight, Group, Score, Seq, Reloc, Size(ft)
1, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 498.156403, -0.015623, 113.160233, -0.183022, 0.009676, -0.004724, 16.049999, 0, 16.049999, 0, 0, 0
2, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.968018, -0.006655, 113.053337, 0.042153, -0.000000, -0.006336, 23.110001, 0, 23.110001, 0, 0, 0
3, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1244.933838, -0.003554, 113.126442, 0.052196, 0.007432, -0.006272, 11.160000, 0, 11.160000, 0, 0, 0
4, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1493.697021, -0.057392, 339.087189, 0.120263, -0.000010, -0.021522, 19.450001, 0, 19.450001, 0, 0, 0
5, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1493.132202, -0.163806, 565.210205, 0.170025, -0.000023, -0.032086, 23.160000, 0, 23.160000, 0, 0, 0
6, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 746.997925, -0.000418, 113.145615, 0.010627, -0.001255, -0.000697, 22.330000, 0, 22.330000, 0, 0, 0
7, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1244.841919, 0.007021, 339.327606, 0.054975, -0.016899, -0.009288, 22.840000, 0, 22.840000, 0, 0, 0
8, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1000.034058, -0.082798, 116.546188, -2.332069, 0.018724, -0.012314, 11.730000, 0, 11.730000, 0, 0, 0
9, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 255.300903, -0.072170, 117.600838, -2.761556, 0.009662, -0.006016, 7.970000, 0, 7.970000, 0, 0, 0
10, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1492.395020, -0.302281, 791.392761, 0.194250, -0.000033, -0.037305, 14.000000, 0, 14.000000, 0, 0, 0
11, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 499.580353, -0.031519, 339.559875, -0.231086, 0.022507, 0.017356, 21.900000, 0, 21.900000, 0, 0, 0
12, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 265.700256, -0.130515, 342.913483, -2.804876, 0.022695, -0.009581, 8.480000, 0, 8.480000, 0, 0, 0
13, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1009.513733, -0.149507, 342.035339, -2.450143, -0.007693, -0.045600, 12.060000, 0, 12.060000, 0, 0, 0
14, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1020.114807, -0.187761, 567.637512, -2.557031, -0.066341, -0.018431, 12.510000, 0, 12.510000, 0, 0, 0
15, 996.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1037.628052, -0.182811, 793.361450, -2.433116, 0.059239, -0.043204, 20.820000, 0, 20.820000, 0, 0, 0
16, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 746.630981, -0.056623, 339.284698, 0.043138, 0.041991, -0.003827, 12.020000, 0, 12.020000, 0, 0, 0
17, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 373.099365, -0.123517, 611.212402, -42.224335, 0.015812, -0.005586, 11.390000, 0, 11.390000, 0, 0, 0
18, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 525.820618, -0.368244, 778.005615, -42.132214, 0.186621, -0.126746, 15.020000, 0, 15.020000, 0, 0, 0
19, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 746.121765, -0.164703, 565.477051, 0.063846, 0.094049, -0.003370, 11.540000, 0, 11.540000, 0, 0, 0
20, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 800.541504, -0.679496, 795.140747, 1.748283, 0.067798, 0.007025, 8.080000, 0, 8.080000, 0, 0, 0
