Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1508.634277, 0.029220, 125.757065, -8.636002, -0.002595, -0.000052, 14.890000, 0, 0, 0.000000, 0
2, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1542.654907, 0.055217, 344.817413, -9.007112, 0.007960, 0.008222, 17.180000, 0, 0, 0.000000, 0
3, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1051.562256, 0.001975, 147.373245, -24.710695, -0.011687, 0.029641, 11.730000, 0, 0, 0.000000, 0
4, 1491.600098, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1617.564453, 0.032134, 781.348328, -9.120270, -0.319569, 0.056890, 20.730000, 0, 0, 0.000000, 0
5, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1577.945557, 0.142116, 563.425781, -9.167640, -0.012708, 0.022142, 18.170000, 0, 0, 0.000000, 0
6, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1149.413330, 0.151388, 349.016144, -26.262337, -0.013305, 0.015804, 16.150000, 0, 0, 1.000000, 1
7, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 295.368896, 0.226581, 130.529999, -11.455459, -0.019877, -0.006861, 10.890000, 0, 0, 2.000000, 2
8, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 550.520874, 0.019085, 146.039993, -22.133688, -0.012199, -0.011709, 5.620000, 0, 0, 3.000000, 3
9, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 389.804077, -0.160884, 356.122162, -24.440666, -0.013068, -0.006221, 13.760000, 0, 0, 4.000000, 4
10, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 639.347168, 0.043736, 352.394104, -23.806372, -0.011419, -0.029851, 10.550000, 0, 0, 5.000000, 5
11, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 737.851624, -0.475457, 558.936462, -27.485151, -0.002811, -0.061222, 10.640000, 0, 0, 6.000000, 6
12, 497.200012, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 979.434875, -0.453622, 670.659607, -48.753872, -1.057700, 0.747062, 11.980000, 0, 0, 7.000000, 7
13, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 480.130737, -0.852377, 558.292175, -24.549278, 0.001705, -0.009162, 14.960000, 0, 0, 8.000000, 8
14, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 587.176941, -0.965086, 764.473816, -30.053263, -0.003526, -0.004521, 16.200001, 0, 0, 9.000000, 9
15, 248.600006, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 842.974976, 0.371599, 857.775635, -47.715843, -1.007044, 0.830866, 16.240000, 0, 0, 10.000000, 10
16, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 798.859131, -0.041728, 146.350693, -22.814383, -0.006550, -0.002783, 5.580000, 0, 0, 11.000000, 11
17, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1248.784058, 0.307619, 546.935303, -26.202536, 0.036697, -0.006026, 17.190001, 0, 0, 12.000000, 12
18, 497.200012, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1146.561401, 0.131908, 861.552002, -30.802118, -0.398941, 0.287690, 15.390000, 0, 0, 13.000000, 13
19, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 892.684143, 0.025793, 349.843872, -24.163332, -0.011510, -0.058555, 14.660000, 0, 0, 14.000000, 14
20, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1352.138794, 1.526095, 742.960754, -26.131695, -0.372517, 0.167738, 17.200001, 0, 0, 15.000000, 15
