Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 295.308685, -0.103453, 342.676086, -6.525468, -0.025405, 0.004909, 22.820000, 0, 0, 0.000000, 0
2, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 266.098145, -0.108811, 122.953461, -6.538032, 0.058029, -0.001304, 22.480000, 0, 0, 0.000000, 0
3, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 765.098877, -0.037088, 336.425232, -3.693408, 0.023715, -0.020055, 12.350000, 0, 0, 0.000000, 0
4, 745.800049, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 807.475464, -0.358724, 999.140991, -3.602831, -0.011011, -0.060802, 13.540000, 0, 0, 0.000000, 0
5, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 779.562073, -0.126057, 557.036438, -3.628275, 0.015252, -0.034774, 12.760000, 0, 0, 0.000000, 0
6, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 794.060730, -0.146391, 777.870667, -3.541301, -0.003238, -0.052591, 12.780000, 0, 0, 0.000000, 0
7, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 751.348328, 0.011547, 115.297142, -3.348581, -0.000162, -0.008737, 6.420000, 0, 0, 0.000000, 0
8, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 507.025269, -0.061630, 118.580658, -5.117123, -0.023229, 0.007160, 5.930000, 0, 0, 1.000000, 1
9, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 527.456726, -0.119688, 338.595276, -4.933980, -0.025029, -0.039413, 15.240000, 0, 0, 2.000000, 2
10, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 998.067200, -0.034358, 113.870529, -2.288853, 0.009476, 0.005317, 9.870000, 0, 0, 3.000000, 3
11, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 548.460754, -0.164224, 558.996887, -4.762123, 0.015495, -0.020318, 19.059999, 0, 0, 4.000000, 4
12, 497.200012, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 564.898926, -0.264913, 781.920715, -3.743676, -0.001381, -0.014910, 22.580000, 0, 0, 5.000000, 5
13, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1006.917358, -0.020671, 334.575531, -2.408431, -0.000594, -0.000131, 11.540000, 0, 0, 6.000000, 6
14, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1016.154175, -0.002588, 555.490601, -2.301716, -0.013668, 0.000643, 19.459999, 0, 0, 7.000000, 7
15, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1243.984619, -0.045434, 111.263268, -0.871056, 0.011701, -0.001843, 11.230000, 0, 0, 8.000000, 8
16, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.527954, -0.003550, 110.645096, -0.005965, -0.006246, -0.003324, 10.600000, 0, 0, 9.000000, 9
17, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1247.351562, -0.066085, 332.476196, -0.966673, 0.005645, -0.013446, 17.690001, 0, 0, 10.000000, 10
18, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1491.404785, -0.004819, 331.664734, 0.066544, -0.024420, -0.016304, 6.270000, 0, 0, 11.000000, 11
19, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1491.111084, -0.046610, 552.943604, 0.168832, -0.050096, -0.026429, 11.120000, 0, 0, 12.000000, 12
20, 1491.600098, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1490.340820, -0.166535, 774.351807, 0.210138, -0.057883, -0.032342, 10.220000, 0, 0, 13.000000, 13
21, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1251.391724, -0.147210, 553.747314, -1.118914, 0.002929, -0.022031, 13.470000, 0, 0, 14.000000, 14
22, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1024.987305, -0.023324, 776.723389, -2.243781, -0.008027, 0.003897, 21.440001, 0, 0, 15.000000, 15
23, 1243.000000, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1255.880493, -0.221669, 775.072632, -1.070682, -0.006601, -0.026033, 15.100000, 0, 0, 16.000000, 16
24, 1491.600098, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1489.536011, -0.315902, 995.885620, 0.231403, -0.070833, -0.034929, 9.060000, 0, 0, 17.000000, 17
25, 1243.000000, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1257.925293, -0.535615, 996.564758, -0.917171, -0.150657, -0.029090, 18.980000, 0, 0, 18.000000, 18
