Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 994.354797, 0.005601, 110.828186, -0.066836, 0.008650, 0.000859, 14.910000, 0, 0, 0.000000, 0
2, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1246.244263, -0.010037, 112.657623, -1.599043, -0.012846, 0.003305, 6.660000, 0, 0, 0.000000, 0
3, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 285.008240, -0.779737, 128.326477, -7.714330, 0.021338, 0.341393, 8.500000, 0, 0, 0.000000, 0
4, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1022.627502, 0.332677, 333.704773, -1.020572, -0.014637, 0.003555, 11.310000, 0, 0, 0.000000, 0
5, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.383179, 0.008884, 110.702087, 0.064630, 0.002040, -0.004018, 13.720000, 0, 0, 0.000000, 0
6, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1252.091919, 0.076885, 333.693176, -1.205233, -0.062121, -0.010905, 14.530000, 0, 0, 1.000000, 1
7, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 515.094727, -0.190126, 123.782066, -7.670213, 0.024216, -0.056603, 7.070000, 0, 0, 2.000000, 2
8, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 754.385681, -0.030000, 118.888344, -4.476601, 0.007340, -0.006827, 10.540000, 0, 0, 3.000000, 3
9, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 548.338806, -0.337190, 343.411804, -8.340340, -0.036168, -0.012417, 9.420000, 0, 0, 4.000000, 4
10, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1256.860107, 0.004863, 555.111450, -1.210172, -0.087642, -0.020458, 18.900000, 0, 0, 5.000000, 5
11, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 580.943298, -0.508084, 562.245239, -8.384729, -0.015307, -0.040460, 10.880000, 0, 0, 6.000000, 6
12, 1491.600098, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1491.302368, 0.033852, 332.191620, 0.128072, -0.023435, -0.010057, 21.250000, 0, 0, 7.000000, 7
13, 497.200012, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 613.325928, -0.707513, 781.335571, -8.368999, -0.017864, -0.046726, 16.290001, 0, 0, 8.000000, 8
14, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 317.071075, -0.408878, 348.864380, -8.444691, 0.040996, 0.353933, 8.980000, 0, 0, 9.000000, 9
15, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 780.343872, -0.067651, 345.925323, -8.286787, -0.017365, -0.001020, 11.140000, 0, 0, 10.000000, 10
16, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 350.476776, -0.370884, 567.796997, -8.401324, -0.016591, 0.364849, 9.740000, 0, 0, 11.000000, 11
17, 497.200012, 0.000000, 997.200012, 0.000000, 0.000000, 0.000000, 1041.542480, -2.014349, 720.749390, -45.955208, 179.991653, 179.961670, 18.400000, 0, 0, 12.000000, 12
18, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 812.554565, -0.212724, 565.191833, -8.395176, -0.006299, -0.007389, 14.340000, 0, 0, 13.000000, 13
19, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 383.046875, -0.307274, 786.947632, -8.361926, -0.014456, 0.366963, 13.210000, 0, 0, 14.000000, 14
20, 1491.600098, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1490.774658, -0.016409, 553.773071, 0.147876, -0.025611, -0.012334, 23.299999, 0, 0, 15.000000, 15
