Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Seq, Emerg, Reloc, Size(ft)
1, 994.400024, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 994.134033, -0.008913, 110.490952, -0.489822, -0.000411, 0.003559, 9.910000, 0, 0, 0.000000, 0
2, 1243.000000, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1242.971802, -0.004430, 110.769485, 0.048557, 0.000117, -0.003275, 16.629999, 0, 0, 0.000000, 0
3, 248.600006, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 273.634644, -0.069807, 116.874916, -3.281646, -0.015686, -0.004917, 16.150000, 0, 0, 0.000000, 0
4, 745.800049, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 745.867554, 0.002953, 110.722420, -0.255873, 0.003288, 0.001325, 23.200001, 0, 0, 0.000000, 0
5, 497.200012, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 504.377502, 0.028470, 117.053635, -3.541585, 0.006912, 0.005464, 9.500000, 0, 0, 0.000000, 0
6, 994.400024, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 995.934570, 0.005264, 331.760773, -0.494928, -0.004518, -0.006389, 18.910000, 0, 0, 1.000000, 1
7, 497.200012, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 518.374390, -0.018871, 337.962006, -3.295403, -0.014278, -0.000009, 15.830000, 0, 0, 2.000000, 2
8, 497.200012, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 531.752869, 0.007727, 559.242065, -3.001055, -0.014319, 0.000751, 12.410000, 0, 0, 3.000000, 3
9, 994.400024, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 997.877747, -0.015517, 553.186584, -0.531759, -0.009476, -0.011336, 20.840000, 0, 0, 4.000000, 4
10, 497.200012, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 542.426147, 0.041727, 781.827209, -2.360495, -0.023870, 0.009292, 11.160000, 0, 0, 5.000000, 5
11, 248.600006, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 288.699432, -0.291925, 337.724335, -3.340052, 0.015865, -0.027168, 10.660000, 0, 0, 6.000000, 6
12, 745.800049, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 751.453979, 0.058882, 335.724823, -2.499510, -0.000797, 0.010612, 10.690000, 0, 0, 7.000000, 7
13, 1243.000000, 0.000000, 332.400024, 0.000000, 0.000000, 0.000000, 1242.715454, -0.026542, 332.305054, 0.093978, 0.000109, -0.007697, 23.110001, 0, 0, 8.000000, 8
14, 745.800049, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 761.670166, 0.050417, 556.501343, -2.365875, -0.014681, 0.004212, 11.350000, 0, 0, 9.000000, 9
15, 1491.600098, 0.000000, 110.800003, 0.000000, 0.000000, 0.000000, 1491.595215, -0.001285, 110.881973, 0.005837, 0.000008, -0.000704, 14.240000, 0, 0, 10.000000, 10
16, 248.600006, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 302.288544, -0.545627, 558.805298, -3.319816, -0.014982, -0.044067, 9.330000, 0, 0, 11.000000, 11
17, 745.800049, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 771.213684, 0.065391, 777.833008, -2.272800, -0.023024, -0.001276, 20.610001, 0, 0, 12.000000, 12
18, 248.600006, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 313.664917, -0.330930, 781.861633, -2.416324, -0.018822, -0.047205, 10.690000, 0, 0, 13.000000, 13
19, 1243.000000, 0.000000, 554.000000, 0.000000, 0.000000, 0.000000, 1242.303955, -0.060270, 553.894775, 0.109530, 0.000080, -0.009479, 19.299999, 0, 0, 14.000000, 14
20, 994.400024, 0.000000, 775.600037, 0.000000, 0.000000, 0.000000, 1001.891174, -0.063841, 776.015686, -1.190766, -0.022208, -0.013793, 18.129999, 0, 0, 15.000000, 15
