Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1348.822144, 2.789999, 564.386536, -33.014462, 178.666077, 177.879059, 13.560000, 0, 13.000000, 0, 0, 0
2, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 327.011658, -0.209331, 198.120483, -19.929630, -0.089883, -0.096366, 12.420000, 0, 12.000000, 0, 0, 0
3, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 883.342102, 0.152335, 355.368866, -21.247913, -0.151378, 0.064093, 7.830000, 0, 7.000000, 0, 0, 0
4, 747.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1554.596069, -5.348113, 114.517487, -89.615784, -27.558760, 21.727375, 15.560000, 0, 15.000000, 0, 0, 0
5, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 551.190491, -0.299584, 145.070694, -19.853157, -0.056064, 0.026027, 10.560000, 0, 10.000000, 0, 0, 0
6, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 409.964600, 0.256135, 414.957489, -22.138903, -0.069956, 0.236082, 10.710000, 0, 10.000000, 0, 0, 0
7, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 796.730103, -0.089875, 145.525024, -20.671846, -0.051476, -0.052232, 6.780000, 0, 6.000000, 0, 0, 0
8, 747.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1952.554932, -14.514676, 114.600945, -90.000000, 144.589554, -143.368134, 18.010000, 0, 18.000000, 0, 0, 0
9, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 497.671082, -1.399413, 630.581116, -21.952770, -0.064433, 0.020126, 11.590000, 0, 11.000000, 0, 0, 0
10, 249.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 1676.760742, -1.770020, 573.906128, 78.358635, -4.341857, -5.220381, 18.740000, 0, 18.000000, 0, 0, 0
11, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 634.989563, -0.352250, 359.328735, -21.923906, -0.058801, 0.066501, 18.860001, 0, 18.000000, 0, 0, 0
12, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1075.184204, 0.014584, 156.990387, -32.901566, -0.101376, 0.021431, 7.710000, 0, 7.000000, 0, 0, 0
13, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 720.163025, -0.377879, 568.875671, -21.927048, 0.018359, 0.022368, 23.620001, 0, 23.000000, 0, 0, 0
14, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1202.061523, -0.484437, 344.301361, -32.915405, -0.455966, 0.236544, 15.550000, 0, 15.000000, 0, 0, 0
15, 249.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 1535.334473, 24.175148, 343.493713, -89.765244, -94.848816, 84.087128, 22.270000, 0, 22.000000, 0, 0, 0
