Idx, Initial_Loc_x, Initial_Loc_y, Initial_Loc_z, Initial_Rot_x, Initial_Rot_y, Initial_Rot_z, Later_Loc_x, Later_Loc_y, Later_Loc_z, Later_Rot_x, Later_Rot_y, Later_Rot_z, Weight(kg), Group, Score, Seq, Reloc, Size(ft)
1, 249.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 284.233276, 0.090690, 132.130493, -10.536998, -0.044073, -0.019177, 21.290001, 0, 21.000000, 0, 0, 0
2, 1494.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 2049.826416, 1.649972, 596.314575, -61.316063, 0.404455, -0.165680, 21.170000, 0, 21.000000, 0, 0, 0
3, 1494.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1850.848999, 0.896336, 488.135010, -61.478107, 0.315240, -0.085667, 14.820000, 0, 14.000000, 0, 0, 0
4, 1494.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1493.848022, -0.100208, 113.184364, -0.130806, 0.076840, -0.037289, 13.750000, 0, 13.000000, 0, 0, 0
5, 1494.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1651.921997, 0.164836, 380.543396, -61.504227, 0.249952, -0.035297, 13.900000, 0, 13.000000, 0, 0, 0
6, 249.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 326.564453, -0.105647, 354.449585, -10.433021, -0.021280, -0.034057, 20.980000, 0, 20.000000, 0, 0, 0
7, 1494.000000, 0.000000, 1017.900024, 0.000000, 0.000000, 0.000000, 2248.814941, 2.492928, 706.448425, -60.697624, 0.536238, -0.281922, 22.059999, 0, 22.000000, 0, 0, 0
8, 498.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 519.094055, -0.006908, 130.538422, -9.822199, -0.011942, 0.026743, 16.549999, 0, 16.000000, 0, 0, 0
9, 747.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 764.198975, -0.020193, 127.936295, -8.462543, 0.001695, 0.010443, 15.500000, 0, 15.000000, 0, 0, 0
10, 498.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 559.422913, -0.000601, 352.973663, -9.890504, -0.030310, 0.020484, 16.780001, 0, 16.000000, 0, 0, 0
11, 996.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1010.080872, 0.149885, 125.648338, -6.996119, -0.043122, -0.013468, 9.060000, 0, 9.000000, 0, 0, 0
12, 996.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1038.100830, 0.730929, 350.284668, -7.184943, -0.182576, -0.001843, 11.140000, 0, 11.000000, 0, 0, 0
13, 498.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 598.179871, 0.147210, 575.913757, -9.700060, -0.025522, 0.035835, 19.100000, 0, 19.000000, 0, 0, 0
14, 996.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 1070.003662, 0.472031, 574.372375, -7.221163, 0.089915, -0.074670, 14.310000, 0, 14.000000, 0, 0, 0
15, 249.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 366.261963, -0.589319, 578.389526, -9.848419, -0.027751, -0.045909, 23.639999, 0, 23.000000, 0, 0, 0
16, 498.000000, 0.000000, 791.700073, 0.000000, 0.000000, 0.000000, 869.623352, 17.393467, 798.201660, -8.500467, 0.093853, -0.003533, 23.260000, 0, 23.000000, 0, 0, 0
17, 747.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 798.165405, 0.095157, 351.535065, -8.650405, -0.043231, 0.028427, 18.820000, 0, 18.000000, 0, 0, 0
18, 1245.000000, 0.000000, 113.100006, 0.000000, 0.000000, 0.000000, 1251.278809, 0.006462, 118.792725, -3.254359, -0.034529, 0.046362, 7.950000, 0, 7.000000, 0, 0, 0
19, 1245.000000, 0.000000, 339.300018, 0.000000, 0.000000, 0.000000, 1275.486206, 1.374901, 346.920746, -5.095343, 0.105258, 0.088593, 8.200000, 0, 8.000000, 0, 0, 0
20, 747.000000, 0.000000, 565.500000, 0.000000, 0.000000, 0.000000, 832.315063, 0.141047, 574.945374, -8.510438, -0.031764, 0.020049, 21.290001, 0, 21.000000, 0, 0, 0
